No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),사행심,보복(소계),보복(소계),보복(소계),보복(소계),보복(소계),가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,계,이욕(소계),생활비마련,유흥비마련,도박비마련,허영사치심,치부,기타,사행심,보복(소계),신고·고소,수사협조,증언,기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
27,2018년,형법범,위조범죄,인장,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4
28,2018년,형법범,위조범죄,통화,25,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,14
29,2018년,형법범,공무원범죄,공무원범죄의 계[입력치],3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
30,2018년,형법범,공무원범죄,수뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2018년,형법범,공무원범죄,증뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2018년,형법범,공무원범죄,직권남용,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
33,2018년,형법범,공무원범죄,직무유기,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,2018년,형법범,풍속범죄,풍속범죄의 계[입력치],223,10,0,0,4,0,0,6,11,0,0,0,0,0,0,12,0,35,0,3,24,128
35,2018년,형법범,풍속범죄,기타음란행위,92,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,32,0,0,12,39
36,2018년,형법범,풍속범죄,도박과 복표,130,9,0,0,4,0,0,5,11,0,0,0,0,0,0,4,0,3,0,2,12,89
37,2018년,형법범,풍속범죄,신앙,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,2018년,형법범,과실범죄,과실범죄의 계[입력치],157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,15,0,53,15,66
39,2018년,형법범,과실범죄,과실치사상,69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,19,8,33
40,2018년,형법범,과실범죄,실화,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,30,6,31
41,2018년,형법범,과실범죄,업무상과실치사상,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2
42,2018년,형법범,기타형법범죄,기타형법범죄의 계[입력치],"2,563",21,1,2,0,3,1,14,3,1,0,0,0,1,2,68,3,500,15,50,388,"1,512"
43,2018년,형법범,기타형법범죄,공무방해,222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,93,3,3,36,82
44,2018년,형법범,기타형법범죄,공안을해하는죄,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
45,2018년,형법범,기타형법범죄,교통방해,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
46,2018년,형법범,기타형법범죄,권리행사방해,117,5,0,0,0,2,0,3,1,0,0,0,0,0,0,3,0,25,2,0,19,62
47,2018년,형법범,기타형법범죄,내란의죄,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
48,2018년,형법범,기타형법범죄,도주와범인은닉,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,13,7
49,2018년,형법범,기타형법범죄,명예,"1,407",8,1,1,0,0,0,6,0,1,0,0,0,1,0,20,0,253,7,30,192,896
50,2018년,형법범,기타형법범죄,무고,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,63
51,2018년,형법범,기타형법범죄,비밀침해,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2018년,형법범,기타형법범죄,신용업무경매,181,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,41,3,1,35,94
53,2018년,형법범,기타형법범죄,위증과증거인멸,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
54,2018년,형법범,기타형법범죄,유기,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
55,2018년,형법범,기타형법범죄,음용수에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2018년,형법범,기타형법범죄,일수와수리에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2018년,형법범,기타형법범죄,주거침입,506,5,0,1,0,1,0,3,1,0,0,0,0,0,1,35,1,82,0,9,86,286
58,2018년,형법범,기타형법범죄,기타,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
59,2018년,특별법범,특별법범의 계[입력치],특별법범의 계[입력치],"11,937",349,118,53,0,5,0,173,74,0,0,0,0,0,6,787,103,878,14,"2,049","2,584","5,093"
60,2018년,특별법범,개발제한구역의지정및관리에관한특별조치법,개발제한구역의지정및관리에관한특별조치법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
