"특별법범",도시및주거환경정비법,소계,1,545,-,641,-,783,-,1137,-,1071
"특별법범",독점규제및공정거래에관한법률,소계,-,39,-,5,-,17,1,45,-,40
"특별법범",디자인보호법,소계,-,307,-,225,-,268,-,313,-,369
"특별법범",마약류관리에관한법률(대마),소계,18,818,7,982,16,1189,17,1060,28,1922
"특별법범",마약류관리에관한법률(마약),소계,-,1011,-,1255,2,1301,2,1315,1,1488
"특별법범",마약류관리에관한법률(향정),소계,38,6167,37,6998,25,7179,39,6039,56,7699
"특별법범",물환경보전법,소계,-,979,-,965,1,983,-,849,-,841
"특별법범",배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,소계,-,501,-,447,-,233,-,157,-,186
"특별법범",범죄수익은닉의규제및처벌등에관한법률,소계,-,232,6,272,-,227,1,262,-,315
"특별법범",변호사법,소계,-,942,-,963,-,807,-,754,-,682
"특별법범",병역법,소계,1,6219,3,6118,-,7048,-,6643,-,6090
"특별법범",보조금관리에관한법률,소계,-,2159,-,1442,1,1653,-,707,-,3458
"특별법범",부동산실권리자명의등기에관한법률,소계,-,893,-,1392,-,1081,-,979,-,945
"특별법범",부정경쟁방지및영업비밀보호에관한법률,소계,-,926,1,1024,-,848,-,1029,1,964
"특별법범",부정수표단속법,소계,7,1769,7,1400,-,1139,7,1034,3,1032
"특별법범",사행행위등규제및처벌특례법,소계,2,1544,3,1112,1,570,-,406,-,379
"특별법범",산림자원의조성및관리에관한법률,소계,-,1088,-,1000,-,921,-,768,-,886
"특별법범",산업안전보건법,소계,-,4630,1,6283,-,6960,-,6779,-,8123
"특별법범",산지관리법,소계,-,2989,-,2921,-,2867,-,2555,-,2586
"특별법범",상표법,소계,5,4611,6,4977,5,4092,7,3349,7,4227
"특별법범",석유및석유대체연료사업법,소계,-,1008,-,1250,-,1233,-,1061,-,1172
"특별법범",선박안전법,소계,-,297,-,303,-,348,-,239,-,252
"특별법범",선박직원법,소계,-,316,-,204,-,198,-,177,-,147
"특별법범",성매매알선등행위의처벌에관한법률,소계,180,17961,345,40637,261,20859,170,14714,106,12874
"특별법범",수도법,소계,-,106,-,143,1,198,-,171,-,134
