No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),사행심,보복(소계),보복(소계),보복(소계),보복(소계),보복(소계),가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,계,이욕(소계),생활비마련,유흥비마련,도박비마련,허영사치심,치부,기타,사행심,보복(소계),신고·고소,수사협조,증언,기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
50,2018년,형법범,기타형법범죄,무고,"7,451",77,8,0,0,0,2,67,3,25,15,0,1,9,11,1,1,98,21,47,855,"6,312"
51,2018년,형법범,기타형법범죄,비밀침해,111,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,4,0,5,26,72
52,2018년,형법범,기타형법범죄,신용업무경매,"30,587",528,83,7,0,9,4,425,35,16,6,0,0,10,40,15,14,"11,208",575,467,"7,755","9,934"
53,2018년,형법범,기타형법범죄,위증과증거인멸,"4,114",46,3,0,0,0,2,41,6,7,0,0,7,0,0,1,2,16,2,40,465,"3,529"
54,2018년,형법범,기타형법범죄,유기,243,3,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,41,0,27,57,102
55,2018년,형법범,기타형법범죄,음용수에관한죄,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,17
56,2018년,형법범,기타형법범죄,일수와수리에관한죄,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,6
57,2018년,형법범,기타형법범죄,주거침입,"12,774",319,81,4,23,1,3,207,16,7,2,1,1,3,151,154,41,"4,077",153,511,"3,634","3,711"
58,2018년,형법범,기타형법범죄,기타,86,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,4,1,5,26,46
59,2018년,특별법범,특별법범의 계[입력치],특별법범의 계[입력치],"786,183","47,215","19,520",208,40,70,744,"26,633","2,920",61,31,1,2,27,"1,283","3,478","3,188","38,185","1,021","174,690","214,145","299,997"
60,2018년,특별법범,가정폭력범죄의처벌등에관한특례법,가정폭력범죄의처벌등에관한특례법,317,4,1,0,0,0,0,3,0,0,0,0,0,0,117,1,0,63,5,18,69,40
61,2018년,특별법범,가축분뇨의관리및이용에관한법률,가축분뇨의관리및이용에관한법률,"1,006",69,35,0,0,0,0,34,0,0,0,0,0,0,0,0,1,12,1,226,324,373
62,2018년,특별법범,감염병의예방및관리에관한법률,감염병의예방및관리에관한법률,207,21,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,41,126,19
63,2018년,특별법범,개발제한구역의지정및관리에관한특별조치법,개발제한구역의지정및관리에관한특별조치법,"1,474",255,62,0,0,0,0,193,2,0,0,0,0,0,0,0,0,15,18,180,665,339
64,2018년,특별법범,개인정보보호법,개인정보보호법,"2,354",99,31,1,1,0,0,66,3,0,0,0,0,0,2,9,0,46,4,176,425,"1,590"
65,2018년,특별법범,건강기능식품에관한법률,건강기능식품에관한법률,434,52,26,0,0,0,1,25,2,0,0,0,0,0,0,0,0,3,0,81,124,172
66,2018년,특별법범,건설기계관리법,건설기계관리법,645,126,24,0,0,0,0,102,4,0,0,0,0,0,0,0,0,9,0,138,235,133
67,2018년,특별법범,건설산업기본법,건설산업기본법,"3,125",737,210,0,0,1,3,523,42,0,0,0,0,0,0,1,10,16,0,184,"1,491",644
68,2018년,특별법범,건축법,건축법,"5,235",449,70,0,0,0,6,373,9,0,0,0,0,0,0,3,8,53,9,"1,165","2,468","1,071"
69,2018년,특별법범,게임산업진흥에관한법률,게임산업진흥에관한법률,"7,749","2,031","1,038",13,6,1,14,959,490,0,0,0,0,0,0,10,7,53,3,925,"2,767","1,463"
70,2018년,특별법범,결혼중개업의관리에관한법률,결혼중개업의관리에관한법률,164,47,8,0,0,0,2,37,4,0,0,0,0,0,0,0,0,2,0,15,49,47
71,2018년,특별법범,경범죄처벌법,경범죄처벌법,"6,576",96,26,0,0,0,2,68,6,2,1,0,0,1,20,16,2,"2,836",299,227,"2,192",880
72,2018년,특별법범,고용보험법,고용보험법,"2,985",651,299,1,0,0,0,351,25,1,0,0,0,1,1,0,2,28,1,136,568,"1,572"
73,2018년,특별법범,공유수면관리및매립에관한법률,공유수면관리및매립에관한법률,285,34,21,0,0,0,0,13,1,0,0,0,0,0,0,1,0,1,1,51,166,30
74,2018년,특별법범,공유재산및물품관리법,공유재산및물품관리법,86,15,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,9,37,24
75,2018년,특별법범,공인중개사법,공인중개사법,"1,909",235,53,0,0,0,8,174,19,0,0,0,0,0,0,0,4,20,0,178,716,737
76,2018년,특별법범,공중위생관리법,공중위생관리법,"1,842",305,172,0,0,0,1,132,6,0,0,0,0,0,0,0,0,15,0,237,671,608
77,2018년,특별법범,공직선거법,공직선거법,"3,313",126,6,0,0,0,1,119,8,0,0,0,0,0,2,8,6,172,31,348,"1,293","1,319"
78,2018년,특별법범,관세법,관세법,"1,039",87,81,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,4,34,913
79,2018년,특별법범,교통사고처리특례법,교통사고처리특례법,"196,974",108,10,6,0,0,0,92,36,0,0,0,0,0,3,57,36,"2,551",5,"51,171","22,660","120,347"
80,2018년,특별법범,국가기술자격법,국가기술자격법,163,27,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,8,88,40
81,2018년,특별법범,국가보안법,국가보안법,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,44
82,2018년,특별법범,국민체육진흥법,국민체육진흥법,381,110,37,1,1,0,0,71,91,0,0,0,0,0,0,26,1,3,0,8,73,69
83,2018년,특별법범,국토의계획및이용에관한법률,국토의계획및이용에관한법률,"1,594",113,24,0,0,0,2,87,6,0,0,0,0,0,0,0,6,13,1,368,737,350
84,2018년,특별법범,근로기준법,근로기준법,"40,635",482,6,0,0,0,11,465,0,10,4,0,0,6,1,0,0,18,0,41,"3,703","36,380"
