No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,소년(소계),소년(소계),소년(소계),소년(소계),소년(소계),소년(소계),소년(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),성인(소계),미상
No,자료시점,분류,분류,분류,계,소년(소계),14세미만,14세,15세,16세,17세,18세,성인(소계),19세,20세,21세,22세, 23세,24세,25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~70세,71세이상,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
50,2014년,형법범,기타형법범죄,무고,"6,349",52,0,5,6,16,9,16,"6,115",27,49,38,34,45,35,33,198,331,442,721,851,994,906,922,489,182
51,2014년,형법범,기타형법범죄,비밀침해,80,0,0,0,0,0,0,0,75,0,0,0,1,0,2,0,5,9,13,13,5,13,8,5,1,5
52,2014년,형법범,기타형법범죄,신용업무경매,"28,713",123,0,6,9,16,35,57,"28,022",76,53,87,110,122,109,125,"1,008","2,052","2,676","4,524","5,270","5,360","3,334","2,416",700,568
53,2014년,형법범,기타형법범죄,위증과증거인멸,"4,392",37,1,2,3,2,13,16,"4,276",14,9,11,17,15,18,13,125,255,310,498,639,848,616,611,277,79
54,2014년,형법범,기타형법범죄,유기,158,5,0,0,1,0,3,1,153,3,7,3,1,4,0,3,7,17,19,11,13,21,22,17,5,0
55,2014년,형법범,기타형법범죄,음용수에관한죄,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,1,3,7,1,6,4,0
56,2014년,형법범,기타형법범죄,일수와수리에관한죄,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0
57,2014년,형법범,기타형법범죄,주거침입,"8,183",296,0,55,60,64,59,58,"7,772",49,42,55,73,70,97,86,522,732,797,"1,098","1,166","1,287",833,639,226,115
58,2014년,형법범,기타형법범죄,기타,"3,888",7,0,1,0,2,0,4,"3,730",13,12,8,26,40,43,55,322,681,671,715,513,362,188,69,12,151
59,2014년,특별법범,특별법범의 계[입력치],특별법범의 계[입력치],"929,689","14,449",10,824,"1,773","3,388","3,896","4,558","902,810","5,541","4,928","6,585","9,126","10,370","12,053","13,336","87,632","103,458","100,510","127,777","128,728","126,861","82,370","65,305","18,230","12,430"
60,2014년,특별법범,가정폭력범죄의처벌등에관한특례법,가정폭력범죄의처벌등에관한특례법,149,0,0,0,0,0,0,0,149,0,0,1,0,1,1,0,8,13,16,25,34,21,15,10,4,0
61,2014년,특별법범,가축분뇨의관리및이용에관한법률,가축분뇨의관리및이용에관한법률,931,0,0,0,0,0,0,0,929,0,0,0,1,0,0,1,3,24,44,76,125,215,186,195,59,2
62,2014년,특별법범,감염병의예방및관리에관한법률,감염병의예방및관리에관한법률,243,1,0,0,0,0,0,1,242,2,4,3,2,2,3,4,20,32,34,37,33,35,17,13,1,0
63,2014년,특별법범,개발제한구역의지정및관리에관한특별조치법,개발제한구역의지정및관리에관한특별조치법,"1,751",0,0,0,0,0,0,0,"1,746",0,0,0,0,1,2,0,12,45,73,170,241,359,357,350,136,5
64,2014년,특별법범,개인정보보호법,개인정보보호법,"2,322",7,0,0,1,2,3,1,"2,211",9,12,21,13,23,22,24,186,257,305,362,321,301,206,116,33,104
65,2014년,특별법범,건강기능식품에관한법률,건강기능식품에관한법률,"1,054",0,0,0,0,0,0,0,"1,052",0,3,3,2,4,10,12,69,164,176,142,138,123,103,93,10,2
66,2014년,특별법범,건설기계관리법,건설기계관리법,590,1,0,0,0,0,0,1,589,0,1,0,1,0,1,0,13,40,57,88,122,123,81,57,5,0
67,2014년,특별법범,건설산업기본법,건설산업기본법,"1,259",1,0,1,0,0,0,0,"1,235",0,0,0,0,0,0,0,12,29,94,178,280,274,209,136,23,23
68,2014년,특별법범,건축법,건축법,"5,847",0,0,0,0,0,0,0,"5,642",1,0,3,2,1,2,5,78,220,385,713,968,"1,202",904,899,259,205
69,2014년,특별법범,게임산업진흥에관한법률,게임산업진흥에관한법률,"9,338",132,0,0,7,10,19,96,"9,183",253,202,206,221,212,167,174,878,"1,268","1,231","1,377","1,223","1,006",475,272,18,23
70,2014년,특별법범,결혼중개업의관리에관한법률,결혼중개업의관리에관한법률,560,0,0,0,0,0,0,0,559,0,0,0,1,0,2,1,20,22,38,84,117,106,97,61,10,1
71,2014년,특별법범,경범죄처벌법,경범죄처벌법,"4,500",59,0,1,11,15,12,20,"4,428",30,25,26,31,31,37,27,208,407,502,791,830,780,414,259,30,13
72,2014년,특별법범,고용보험법,고용보험법,977,0,0,0,0,0,0,0,976,0,0,0,1,2,2,6,35,114,120,175,166,169,113,70,3,1
73,2014년,특별법범,공유수면관리및매립에관한법률,공유수면관리및매립에관한법률,347,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,2,5,13,27,46,89,57,79,28,1
74,2014년,특별법범,공유재산및물품관리법,공유재산및물품관리법,113,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,1,4,15,13,16,23,18,19,4,0
75,2014년,특별법범,공인중개사법,공인중개사법,"2,367",0,0,0,0,0,0,0,"2,336",0,0,1,4,6,5,10,115,119,180,354,403,461,357,243,78,31
76,2014년,특별법범,공중위생관리법,공중위생관리법,"1,174",3,0,0,0,2,1,0,"1,169",1,1,1,4,2,4,7,96,142,143,156,164,182,149,90,27,2
77,2014년,특별법범,공직선거법,공직선거법,"3,469",7,0,1,0,3,0,3,"3,294",10,4,7,10,9,18,10,57,102,173,335,568,713,634,557,87,168
78,2014년,특별법범,관세법,관세법,873,0,0,0,0,0,0,0,855,0,0,0,1,1,3,2,27,75,123,140,154,154,91,65,19,18
79,2014년,특별법범,교통사고처리특례법,교통사고처리특례법,"194,449","3,543",1,124,243,909,"1,017","1,249","190,599","1,269",946,"1,440","1,963","2,032","2,301","2,502","14,724","17,403","17,130","23,066","25,389","28,604","22,871","22,497","6,462",307
80,2014년,특별법범,국가기술자격법,국가기술자격법,706,3,0,0,0,0,0,3,703,2,7,5,5,19,9,9,54,87,94,113,89,100,65,32,13,0
81,2014년,특별법범,국가보안법,국가보안법,84,0,0,0,0,0,0,0,74,0,0,0,0,0,1,1,6,3,6,16,22,8,6,3,2,10
82,2014년,특별법범,국민체육진흥법,국민체육진흥법,"2,452",18,0,0,0,2,5,11,"2,417",38,46,47,63,101,94,126,706,686,321,121,38,17,8,5,0,17
83,2014년,특별법범,국토의계획및이용에관한법률,국토의계획및이용에관한법률,"1,442",0,0,0,0,0,0,0,"1,430",0,0,1,0,0,0,2,11,41,69,126,244,298,285,258,95,12
84,2014년,특별법범,근로기준법,근로기준법,"38,735",0,0,0,0,0,0,0,"38,527",2,6,2,10,13,25,51,631,"2,047","3,949","7,501","8,433","8,133","4,516","2,709",499,208
85,2014년,특별법범,근로자퇴직급여보장법,근로자퇴직급여보장법,"9,373",0,0,0,0,0,0,0,"9,357",0,0,0,0,0,1,2,66,334,824,"1,695","2,036","2,089","1,324",826,160,16
86,2014년,특별법범,낚시관리및육성법,낚시관리및육성법,95,0,0,0,0,0,0,0,95,0,0,0,0,0,1,0,1,2,10,7,14,15,19,22,4,0
87,2014년,특별법범,노동조합및노동관계조정법,노동조합및노동관계조정법,866,0,0,0,0,0,0,0,788,0,0,0,0,2,0,0,7,26,38,103,140,182,128,109,53,78
88,2014년,특별법범,농수산물유통및가격안정에관한법률,농수산물유통및가격안정에관한법률,69,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,9,15,4,23,6,8,3,1
89,2014년,특별법범,농수산물의원산지표시에관한법률,농수산물의원산지표시에관한법률,"3,729",0,0,0,0,0,0,0,"3,726",1,0,0,2,6,7,3,83,313,403,615,707,762,480,304,40,3
90,2014년,특별법범,농지법,농지법,"1,144",0,0,0,0,0,0,0,"1,134",1,0,0,0,1,0,0,5,33,43,84,160,207,222,260,118,10
91,2014년,특별법범,대기환경보전법,대기환경보전법,"1,960",0,0,0,0,0,0,0,"1,920",0,0,0,0,1,1,3,16,67,136,280,422,512,285,159,38,40
92,2014년,특별법범,대부업등의등록및금융이용자보호에관한법률,대부업등의등록및금융이용자보호에관한법률,"2,259",0,0,0,0,0,0,0,"2,214",8,7,7,12,27,43,22,342,435,307,250,228,223,157,115,31,45
93,2014년,특별법범,도로교통법,도로교통법,"12,599",678,1,18,55,204,217,183,"11,852",171,121,156,189,194,194,198,"1,066","1,246","1,115","1,482","1,391","1,533","1,106","1,085",605,69
94,2014년,특별법범,도로교통법(무면허운전),도로교통법(무면허운전),"37,314","3,559",2,332,845,930,840,610,"33,745",436,296,302,366,398,441,445,"3,409","4,228","3,784","4,713","4,875","4,681","2,623","1,901",847,10
95,2014년,특별법범,도로교통법(사고후미조치),도로교통법(사고후미조치),"47,456",531,0,28,56,124,88,235,"45,105",253,176,346,482,480,530,616,"3,632","4,259","4,341","5,808","6,252","6,496","4,737","4,810","1,887","1,820"
96,2014년,특별법범,도로교통법(음주운전),도로교통법(음주운전),"220,536",686,0,5,17,76,170,418,"219,842",637,607,"1,174","2,022","2,518","3,221","3,888","29,546","36,284","31,740","35,420","29,688","23,586","11,865","6,643","1,003",8
97,2014년,특별법범,도로교통법(음주측정거부),도로교통법(음주측정거부),"2,414",2,0,0,0,0,1,1,"2,412",1,3,8,12,11,15,17,185,335,334,361,438,395,179,101,17,0
98,2014년,특별법범,도로법,도로법,"1,362",1,0,0,0,0,0,1,"1,349",0,0,1,0,0,2,0,25,62,156,206,308,249,178,128,34,12
99,2014년,특별법범,도시및주거환경정비법,도시및주거환경정비법,855,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,1,6,25,32,59,100,139,257,119,117
100,2014년,특별법범,독점규제및공정거래에관한법률,독점규제및공정거래에관한법률,77,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,1,5,4,3,4,13,11,9,1,26
101,2014년,특별법범,디자인보호법,디자인보호법,402,0,0,0,0,0,0,0,353,0,0,1,1,1,0,4,24,32,50,65,61,50,36,23,5,49
102,2014년,특별법범,마약류관리에관한법률(대마),마약류관리에관한법률(대마),909,24,0,0,1,7,10,6,885,12,17,28,18,26,37,29,120,153,93,88,98,83,44,23,16,0
103,2014년,특별법범,마약류관리에관한법률(마약),마약류관리에관한법률(마약),622,0,0,0,0,0,0,0,618,0,1,5,2,6,3,1,12,20,26,27,32,46,66,185,186,4
104,2014년,특별법범,마약류관리에관한법률(향정),마약류관리에관한법률(향정),"5,351",25,0,2,3,3,9,8,"5,317",22,24,33,39,42,42,62,449,712,895,"1,169",898,630,201,83,16,9
105,2014년,특별법범,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,350,0,0,0,0,0,0,0,350,0,0,0,0,1,1,2,22,60,73,90,61,22,13,4,1,0
106,2014년,특별법범,범죄수익은닉의규제및처벌등에관한법률,범죄수익은닉의규제및처벌등에관한법률,243,0,0,0,0,0,0,0,240,0,0,1,0,2,1,2,15,33,44,36,34,32,22,15,3,3
107,2014년,특별법범,변호사법,변호사법,921,0,0,0,0,0,0,0,896,0,0,0,0,1,0,1,15,40,85,132,177,182,131,110,22,25
108,2014년,특별법범,병역법,병역법,"6,643",0,0,0,0,0,0,0,"6,642",188,448,427,623,774,922,980,"1,718",350,59,13,46,60,25,9,0,1
109,2014년,특별법범,보조금관리에관한법률,보조금관리에관한법률,"1,550",0,0,0,0,0,0,0,"1,536",0,0,0,0,0,1,1,18,78,181,312,315,284,185,133,28,14
110,2014년,특별법범,부동산실권리자명의등기에관한법률,부동산실권리자명의등기에관한법률,"1,059",0,0,0,0,0,0,0,"1,050",0,0,0,2,2,0,6,28,53,92,138,161,210,146,144,68,9
111,2014년,특별법범,부정경쟁방지및영업비밀보호에관한법률,부정경쟁방지및영업비밀보호에관한법률,"1,000",0,0,0,0,0,0,0,977,0,1,0,1,3,2,6,59,131,216,202,153,113,67,19,4,23
112,2014년,특별법범,부정수표단속법,부정수표단속법,"2,258",6,0,0,2,2,2,0,"2,220",0,0,0,0,0,3,0,18,17,103,177,415,602,426,329,130,32
113,2014년,특별법범,사행행위등규제및처벌특례법,사행행위등규제및처벌특례법,"1,966",9,0,0,0,0,0,9,"1,956",17,15,29,44,42,39,49,199,244,266,328,276,261,91,51,5,1
114,2014년,특별법범,산림자원의조성및관리에관한법률,산림자원의조성및관리에관한법률,910,1,0,0,1,0,0,0,904,0,0,0,0,1,1,1,5,12,37,78,121,196,164,194,94,5
115,2014년,특별법범,산업안전보건법,산업안전보건법,"5,387",0,0,0,0,0,0,0,"5,076",0,0,0,0,1,0,3,16,121,392,908,"1,211","1,245",686,431,62,311
116,2014년,특별법범,산지관리법,산지관리법,"2,508",0,0,0,0,0,0,0,"2,479",0,0,1,0,0,1,2,15,32,102,201,372,505,484,536,228,29
117,2014년,특별법범,상표법,상표법,"4,608",7,0,1,0,3,1,2,"4,447",1,10,17,25,39,33,45,381,577,588,698,659,671,392,266,45,154
118,2014년,특별법범,석유및석유대체연료사업법,석유및석유대체연료사업법,"1,179",2,0,0,0,0,1,1,"1,164",0,1,4,3,2,5,1,55,143,197,202,170,176,125,63,17,13
119,2014년,특별법범,선박안전법,선박안전법,119,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,2,2,8,10,12,19,30,30,6,0
120,2014년,특별법범,선박직원법,선박직원법,339,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,5,8,17,35,52,101,68,45,8,0
121,2014년,특별법범,성매매알선등행위의처벌에관한법률,성매매알선등행위의처벌에관한법률,"21,979",137,1,6,5,18,25,82,"21,764",191,270,330,414,417,502,503,"3,414","4,247","3,013","2,430","1,914","1,861","1,289",803,166,78
122,2014년,특별법범,화재예방·소방시설설치유지및안전관리에관한법률,화재예방·소방시설설치유지및안전관리에관한법률,603,0,0,0,0,0,0,0,600,0,0,0,2,1,0,0,6,19,38,69,102,114,94,102,53,3
123,2014년,특별법범,수도법,수도법,168,0,0,0,0,0,0,0,166,0,0,0,0,3,0,0,7,14,18,22,28,29,17,22,6,2
124,2014년,특별법범,수산업법,수산업법,"1,300",0,0,0,0,0,0,0,"1,297",0,0,0,0,0,0,0,3,36,60,127,237,321,280,194,39,3
125,2014년,특별법범,수산자원관리법,수산자원관리법,"1,336",0,0,0,0,0,0,0,"1,332",1,0,0,0,0,1,3,16,54,116,162,216,294,239,187,43,4
126,2014년,특별법범,물환경보전법,물환경보전법,"1,106",0,0,0,0,0,0,0,"1,082",0,0,0,0,0,0,2,8,35,74,153,236,268,157,128,21,24
127,2014년,특별법범,식품위생법,식품위생법,"13,878",11,0,1,0,0,0,10,"13,847",28,32,46,54,70,62,67,610,"1,003","1,174","1,902","2,411","2,819","1,919","1,397",253,20
128,2014년,특별법범,신용정보의이용및보호에관한법률,신용정보의이용및보호에관한법률,210,0,0,0,0,0,0,0,208,0,0,0,0,0,0,1,11,33,34,36,32,30,19,12,0,2
129,2014년,특별법범,아동·청소년의성보호에관한법률(성매수등),아동·청소년의성보호에관한법률(성매수등),760,181,0,22,41,43,34,41,576,35,34,24,23,20,19,13,86,123,83,54,27,15,9,8,3,3
130,2014년,특별법범,아동·청소년의성보호에관한법률(음란물등),아동·청소년의성보호에관한법률(음란물등),850,82,0,6,11,23,16,26,768,45,32,28,45,37,35,30,155,136,87,64,38,19,12,5,0,0
131,2014년,특별법범,아동복지법,아동복지법,970,8,0,4,1,1,1,1,954,5,8,11,11,27,16,22,90,135,170,186,134,78,34,21,6,8
132,2014년,특별법범,액화석유가스의안전관리및사업법,액화석유가스의안전관리및사업법,254,0,0,0,0,0,0,0,252,0,0,0,0,0,0,1,1,15,33,46,39,50,42,18,7,2
133,2014년,특별법범,약사법,약사법,"4,295",2,0,0,0,0,1,1,"4,287",4,5,10,17,24,24,17,171,285,351,488,591,657,587,724,332,6
134,2014년,특별법범,여객자동차운수사업법,여객자동차운수사업법,"1,513",1,0,0,0,0,0,1,"1,503",6,5,14,13,6,10,15,105,203,173,154,151,213,206,206,23,9
135,2014년,특별법범,여신전문금융업법,여신전문금융업법,"2,355",188,0,44,52,35,22,35,"2,140",33,29,25,34,31,24,37,134,220,233,320,315,298,197,180,30,27
136,2014년,특별법범,영유아보육법,영유아보육법,852,0,0,0,0,0,0,0,851,1,1,0,0,1,2,4,31,80,152,205,163,116,60,23,12,1
