분류,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,
분류,합계,불취학,초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,전문대학,전문대학,전문대학,대학교,대학교,대학교,대학원,기타,미상,
분류,소계,소계,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,소계,소계,소계,
농지법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대기환경보전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대부업등의등록및금융이용자보호에관한법률,14,0,0,0,0,0,0,0,9,0,1,1,0,0,1,0,0,0,0,2,
도로교통법,4634,0,5,4,10,548,92,159,2316,688,347,43,3,2,118,8,0,0,0,291,
도로법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
마약류관리에관한법률,58,0,2,0,1,0,6,3,8,19,8,0,0,0,3,0,0,0,0,8,
병역법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
부정경쟁방지및영업비밀보호에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
부정수표단속법,7,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,
사행행위등규제및처벌특례법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산림자원의조성및관리에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산업안전보건법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산지관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상표법,7,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,
선박안전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
선박직원법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
성매매알선등행위의처벌에관한법률,170,0,0,1,2,7,7,18,23,36,35,3,0,0,7,1,0,0,0,30,
수산업법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
수산자원관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
물환경보전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
식품위생법,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,
아동·청소년의성보호에관한법률(성매수등),223,1,0,0,2,36,20,16,43,46,14,0,0,0,1,0,0,0,0,44,
아동·청소년의성보호에관한법률(음란물등),126,0,0,0,0,32,0,0,69,4,3,1,0,0,6,0,0,0,0,11,
아동복지법,70,0,0,0,0,22,2,2,30,4,2,0,0,0,2,0,0,0,0,6,
여객자동차운수사업법,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
여신전문금융업법,87,0,0,0,1,28,2,4,26,16,2,0,0,0,2,0,0,0,0,6,
외국환거래법,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
의료법,7,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,1,
자동차관리법,228,0,0,0,0,0,0,13,78,52,38,7,0,0,5,3,0,0,0,32,
자동차손해배상보장법,340,0,0,0,1,8,5,12,181,70,21,1,1,1,1,0,0,0,0,38,
저작권법,37,0,0,0,0,2,0,0,6,0,2,0,0,0,0,0,0,0,0,27,
전자금융거래법,247,0,0,0,0,7,2,9,77,26,66,2,0,0,27,0,0,0,0,31,
정보통신망이용촉진및정보보호등에관한법률,664,0,0,0,1,94,5,9,241,30,46,4,0,0,24,0,0,0,0,210,
조세범처벌법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
주민등록법,958,1,1,0,0,47,17,21,521,151,70,23,0,1,44,1,0,0,0,60,
청소년보호법,745,0,0,0,0,32,4,15,386,93,68,12,1,0,57,1,0,0,0,76,
축산물위생관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
출입국관리법,6,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,
통신비밀보호법,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
특가법(도주차량),65,0,0,0,0,6,1,3,24,8,3,3,0,0,2,0,0,0,0,15,
폐기물관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
풍속영업의규제에관한법률,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
학원의설립운영및과외교습에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
예비군법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
화물자동차운수사업법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
기타특별법,475,0,0,0,2,60,16,20,157,73,41,8,0,0,7,0,0,0,0,91,
